genero;genero_diverso;edad;discapacidad;nivel_formacion;carrera_grado;tipo_universidad;provincia;region;id;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;funcion_rh;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;mate;idioma_exigencia;idioma_porcentaje;contactos_linkedin;satisfaccion;busqueda;beneficios_expectativa;rh_una_palabra;pregunta_bizarra;teletrabajo;elementos;valoracion_gestion_empresa;es_lider;rangos_aumentos
Femenino;No;47;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;141;Otros;200;Nacional;2;Gerente;Full time;Generalista;8;25;14;10;148000;Gimnasio, Préstamos;Dos sueldos;No tuve ajustes;10;Marzo;Si, en proyectos ad honorem;Terciarizado con Arizmedi;Recursos Humanos;Si, está permitido;No;0;250;4;No,  pero escucho ofertas;Home office;Confianza;no recuerdo;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;1;Entre 1 y 10
Femenino;No;45;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Privada;San Juan;Cuyo;142;Comercio;135;Multinacional;2;Jefe;Full time;Generalista;1;4;4;15;61697;Medicina prepaga / Plan de salud, Tarjeta de descuento;Menos de un sueldo;No tuve ajustes;5;Marzo;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;NA;62;3;Sí, activamente;Horario flexible;Operativa;NA;Si;No me enviaron ni reintegraron nada;3;1;Entre 1 y 10
Femenino;No;29;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Corrientes;NEA;143;Comercio;150;Nacional;1;Responsable;Full time;Reclutamiento y selección;0;2;2;2;40000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;20;Junio;No;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;0.1;50;3;No,  pero escucho ofertas;Tener una parte del sueldo variable;Necesario;Pedirme un préstamo a 1 semana de estar en la empresa;No;No estoy trabajando en home office;3;1;Entre 11 y 20
Femenino;No;39;No tengo ninguna discapacidad;Maestría en curso;Contador Público;Universidad Privada;San Juan;Cuyo;144;Comercio;350;Nacional;2;Responsable;Full time;Administración de personal;1;13;2;2;85000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;NA;No;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Sin aumentos
Femenino;No;38;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Córdoba;Centro;145;Otros;180;Nacional;6;Responsable;Full time;Comunicación interna;1;4;1;7;40000;Horarios flexibles, Abono de celular, Home office;No recibo bono;No tuve ajustes;0;NA;Si, en emprendimiento no relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;NA;1100;4;Sí, activamente;NA;NA;NA;Si;Computadora / Laptop, Silla ergonómica, Abono de celular;4;1;Sin aumentos
Femenino;No;34;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Santa Fe;Patagonia;146;Otros;308;Nacional;4;Analista;Full time;Reclutamiento y selección;0;2.5;2.5;8;93000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;15;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.1;1879;2;No,  pero escucho ofertas;comedor, flex time/jornada reducida;Dinamismo;¿-;No;No estoy trabajando en home office;3;0;Entre 11 y 20
Femenino;No;38;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;147;Construcción;137;Nacional;2;Responsable;Full time;Administración de personal;1;2;2;14;118000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Noviembre;No;softland;Recursos Humanos;Si, está permitido;No;0;600;2;Sí, activamente;home office;Empatia;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;2;1;Sin aumentos
Masculino;Prefiero no responder;34;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Santa Fe;Patagonia;148;Otros;265;Multinacional;3;Analista;Full time;Administración de personal;0;9;9;12;79000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;12;Mayo;Si, en emprendimiento no relacionado con RRHH;Bejerman;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Entre 11 y 20
Femenino;No;35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;149;Comercio;100;Nacional;1;Responsable;Full time;Generalista;0;2;2;13;50000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;NA;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Sin aumentos
Femenino;No;34;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;150;Hotelería, restauración, turismo;45;Nacional;1;Responsable;Full time;Generalista;0;2;2;9;70000;Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;NA;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;NA;500;2;Sí, activamente;Medicina prepaga, horarios flexibles, capacitaciones;Fundamental;De qué signo zodiacal soy;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;1;1;Sin aumentos
Masculino;No;32;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Buenos Aires;Centro;151;Industria autopartista;500;Multinacional;5;HRBP;Full time;Relaciones laborales;0;9;2;10;110000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Comedor / Almuerzos;Dos sueldos;2 ajustes;14;Julio;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0;200;4;No,  pero escucho ofertas;Charter/transporte;Influyente;Ningua;No;No estoy trabajando en home office;4;0;Entre 11 y 20
Femenino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;152;Industria autopartista;300;Nacional;2;Analista;Full time;Administración de personal;0;1;1;5;55000;No tengo beneficios adicionales;No recibo bono;1 solo;80;Agosto;Si, en proyectos ad honorem;Enlatado propio;Recursos Humanos;Si, está permitido;No;0;1600;3;No,  pero escucho ofertas;Capacitación- posgrado;Progreso;Me preguntaron que afinidad política tenía, yo no suelo hacer preguntas extrañas (para adjetivar) si la conversación no va por ese camino. No se si me expliqué. Si el relato es bizarro y me interesa pregunto. Pero no lo haría de la nada;No;No estoy trabajando en home office;1;0;Más de 30
Femenino;No;36;No tengo ninguna discapacidad;Universitario en curso;Contador Público;Universidad Privada;Catamarca;NOA;153;Comercio;134;Nacional;1;Jefe;Full time;Generalista;0;1;1;11;75000;Medicina prepaga / Plan de salud, Abono de celular, Abono de internet, Home office, Comedor / Almuerzos;No recibo bono;1 solo;10;Abril;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;No, está prohibido;No;0;130;3;Sí, activamente;Poder trabajar para vivir y no vivir para trabajar;Gestion;NA;No;Computadora / Laptop, Abono de celular, Abono de internet;1;1;Entre 1 y 10
Femenino;No;27;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Buenos Aires;Centro;154;"Transporte marítimo; puertos;";1600;Multinacional;20;Analista;Full time;Administración de personal;0;0;0;2;60000;Medicina prepaga / Plan de salud, Préstamos, Idiomas, Comedor / Almuerzos;Un sueldo;2 ajustes;20;Septiembre;No;SAP / SuccessFactors;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Entre 11 y 20
Femenino;No;32;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;155;Otros;200;Multinacional;4;Analista;Full time;Generalista;0;0;0;7;72500;Frutas y snacks, Comedor / Almuerzos, App de meditación;Un sueldo;1 solo;13;Septiembre;Si, en emprendimiento relacionado con RRHH;Workday;Recursos Humanos;Si, está permitido;No;0.3;300;4;No,  pero escucho ofertas;Dias libres;Intenso;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Silla ergonómica, Kit sanitizante;5;0;Entre 11 y 20
Femenino;No;37;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;156;Función pública;4000;Nacional;50;Analista;Full time;Desarrollo laboral: procesos Sofi, capacitacion, evaluación, desarrollo;0;10;10;12;66000;No tengo beneficios adicionales, Reintegro guardería (fijo 2300$);No recibo bono;No tuve ajustes;0;NA;Si, en emprendimiento relacionado con RRHH;Meta4;Recursos Humanos;Si, está permitido;No;0;700;3;No,  pero escucho ofertas;Home office, reintegro gastos internet y telefonía... reintegro Jardin completo;Pasión;NA;Si;No me enviaron ni reintegraron nada;4;0;Sin aumentos
Femenino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;157;Industria autopartista;300;Nacional;2;Analista;Full time;Administración de personal;0;1;1;5;55000;No tengo beneficios adicionales;No recibo bono;1 solo;80;Agosto;Si, en proyectos ad honorem;Enlatado propio;Recursos Humanos;Si, está permitido;No;0;1600;3;No,  pero escucho ofertas;Capacitación- posgrado;Progreso;Me preguntaron que afinidad política tenía, yo no suelo hacer preguntas extrañas (para adjetivar) si la conversación no va por ese camino. No se si me expliqué. Si el relato es bizarro y me interesa pregunto. Pero no lo haría de la nada;No;No estoy trabajando en home office;1;0;Más de 30
Masculino;No;31;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;158;IT;1600;Multinacional;25;Analista;Full time;Reclutamiento y selección;0;0;2;5;70000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Abono de internet, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;No recibo bono;3 o más ajustes;26;Septiembre;No;No tenemos sistema de gestión;Employee Experience;Si, está permitido;Si;0.4;7000;5;No estoy buscando cambiar;Sueldo dolarizado.;Estratégico.;NA;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5;0;Entre 21 y 30
Femenino;No;38;No tengo ninguna discapacidad;Secundario completo;Comunicación Social;Universidad Pública;Buenos Aires;Centro;159;Función pública;800;Nacional;2;Administrativo;Full time;Administración de personal;0;6;6;6;37000;Ninguno;No recibo bono;No tuve ajustes;7;Octubre;No;Enlatado propio;Oficina de Personal;Si, está permitido;No;0;0;4;No estoy buscando cambiar;No sé;Pasión;Ninguna;No;No estoy trabajando en home office;3;0;Entre 1 y 10
Femenino;No;25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;160;"Textiles; vestido; cuero; calzado";83;Nacional;2;Analista;Full time;Generalista;0;3;3;4;28000;No tengo beneficios adicionales;No recibo bono;1 solo;5;Agosto;No;No tenemos sistema de gestión;Recursos Humanos;No, está prohibido;No;0;160;2;Sí, activamente;Mejor salario, obra social, gimnasio pago;Socio;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;0;Entre 1 y 10
Femenino;No;39;No tengo ninguna discapacidad;Secundario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;161;Servicios de salud;55;Nacional;1;Responsable;Full time;Generalista;0;10;3;3;87000;Horarios flexibles, Abono de celular, Préstamos, Reintegros en capacitación;Menos de un sueldo;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;500;3;No,  pero escucho ofertas;Capacitación;Estrategia;Si alquilaban tenían vivienda propia. (Por lo mal que pagabamos los sueldos);Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;1;Sin aumentos
Femenino;No;36;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Neuquén;Patagonia;162;Servicios de salud;1200;Nacional;18;HRBP;Full time;Generalista;800;2;2;10;100000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;4;Agosto;No;RH Pro;Recursos Humanos;Si, está permitido;No;NA;500;1;Sí, activamente;Prepaga;Cercanía;NA;No;No me enviaron ni reintegraron nada;1;0;Entre 1 y 10
Femenino;No;28;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;163;IT;70;Multinacional;2;HRBP;Full time;Capacitación y desarrollo;0;0;0;2;57000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Idiomas, Home office;Menos de un sueldo;1 solo;5;Agosto;No;Oracle HCM;Recursos Humanos;No, está prohibido;Si;0.5;300;4;Sí, activamente;+ sueldo;Desiciones;Si te fueras de vacaciones, y te ofrecieran trabajo allí, de que sería?;NA;NA;NA;0;Entre 1 y 10
Masculino;No;30;No tengo ninguna discapacidad;Secundario completo;RRHH / RRLL / RRTT;Universidad Privada;Jujuy;NOA;164;Educación;105;Nacional;1;Analista;Full time;Generalista;0;2;2;4;40000;No tengo beneficios adicionales;No recibo bono;1 solo;15;Julio;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;250;3;No,  pero escucho ofertas;Home office y prepaga;Potenciar;Si pensaba casarme con mi novia;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;0;Entre 11 y 20
Masculino;No;26;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;165;IT;44;Nacional;3;HRBP;Full time;Generalista;1;2;1;2;84000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Posgrados, Home office;Menos de un sueldo;2 ajustes;62;Septiembre;Si, en emprendimiento no relacionado con RRHH;Enlatado propio;People Team;Si, está permitido;Si;0;2500;5;No,  pero escucho ofertas;NA;NA;NA;NA;NA;NA;0;Más de 30
Masculino;Si;34;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;166;Servicios de consultoría;250;Multinacional;7;Analista;Tercerizado / Outsourced;Payroll / Liquidación de sueldos;2;2;1;2;65500;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Frutas y snacks, Seguro de vida (adicionales a los de ley), Idiomas, Home office;No recibo bono;2 ajustes;40;Agosto;No;RH Pro;Recursos Humanos;Si, está permitido;No;0.3;1453;3;No,  pero escucho ofertas;Posgrado;Guía;No recuerdo;Si;Computadora / Laptop, Silla ergonómica;3;0;Más de 30
Masculino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;San Juan;Cuyo;167;Otros;120;Multinacional;1;Responsable;Full time;Administración de personal;0;2;2;6;72000;Medicina prepaga / Plan de salud, Seguro de vida (adicionales a los de ley), Comedor / Almuerzos;No recibo bono;1 solo;20;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Entre 11 y 20
Femenino;Si;32;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;No estudié en la Universidad;Buenos Aires;Centro;168;Industria autopartista;65;Nacional;2;Responsable;Full time;Generalista;1;3;3;5;48192;Horarios flexibles, Préstamos, Combustible, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;700;4;No,  pero escucho ofertas;Obra social;NA;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;1;Sin aumentos
Masculino;No;37;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Patagonia;169;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";95;Nacional;3;Jefe;Full time;Generalista;2;7;7;12;181000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Comedor / Almuerzos;Un sueldo;1 solo;17;Julio;No;Tango;Recursos Humanos;Si, está permitido;No;0;630;2;No,  pero escucho ofertas;Vacaciones extendidas, bono anual, comedor;Personas;Entrevistando promotoras, me preguntaron que calce tenía el pantalón del uniforme porque ella podía llevar uno que le quedaba “genial”;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;1;Entre 11 y 20
Femenino;No;32;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;La Rioja;Cuyo;170;Función pública;4000;Nacional;3;Analista;Full time;Generalista;0;1;1;7;38;Horarios flexibles;Menos de un sueldo;1 solo;15;Octubre;No;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0;1000;3;No,  pero escucho ofertas;Gimnasio, descuentos;Placer;NA;No;No estoy trabajando en home office;2;0;Entre 11 y 20
Masculino;No;30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;171;IT;14000;Nacional;150;Analista;Full time;People Analytics;0;0;0;7;110000;Medicina prepaga / Plan de salud, Abono de internet, Idiomas, Home office;No recibo bono;2 ajustes;50;Octubre;No;SAP / SuccessFactors;Talent & Culture;Si, está permitido;No;0.1;12000;2;Sí, activamente;Cobro en dólares;Complejidad;No me acuerdo;Si;Computadora / Laptop, Abono de internet;5;0;Más de 30
Femenino;No;31;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Buenos Aires;Centro;172;Otros;370;Nacional;3;HRBP;Full time;Generalista;1;7;2;7;105000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Comedor / Almuerzos;No recibo bono;1 solo;17;Agosto;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;0.5;100;3;Sí, activamente;NA;Empatía;¿Qué siento al viajar en transporte público?;No;No estoy trabajando en home office;4;0;Entre 11 y 20
Masculino;No;45;Prefiero no responder;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Jujuy;NOA;173;Otros;500;Nacional;5;Responsable;Full time;Capacitación y desarrollo;0;15;5;5;75000;Vacaciones extendidas, Home office;No recibo bono;1 solo;10;Julio;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0.3;NA;4;No,  pero escucho ofertas;NA;personas;no quiere pensarlo bien?;NA;NA;NA;1;Entre 1 y 10
Femenino;No;40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Chaco;NEA;174;Otros;2400;Nacional;8;HRBP;Full time;Payroll / Liquidación de sueldos;5;2;2;8;50000;Medicina prepaga / Plan de salud, Home office;No recibo bono;No tuve ajustes;0;Marzo;No;Tango;Recursos Humanos;Si, está permitido;No;0;120;3;Sí, activamente;Horarios flexibles;Empatía;NA;Si;No me enviaron ni reintegraron nada;2;0;Sin aumentos
Femenino;No;40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;175;Agro;600;Nacional;9;Analista;Plazo Fijo;Payroll / Liquidación de sueldos;0;4;4;7;60000;Medicina prepaga / Plan de salud, Préstamos, Vacuna Antiviral(gripe);No recibo bono;No tuve ajustes;20;Marzo;No;Worknet;Oficina de Personal;No, está prohibido;No;0;55;4;No,  pero escucho ofertas;Día de cumpleaños, beneficios tipo cuponera;Confidencialidad;Si me gustaba tomar mate;Si;No me enviaron ni reintegraron nada;3;0;Entre 11 y 20
Femenino;No;34;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Privada;Córdoba;Centro;176;Otros;250;Nacional;4;Jefe;Full time;Generalista;3;0;8;18;75000;Horarios flexibles, Frutas y snacks, Préstamos, Home office;No recibo bono;2 ajustes;30;Julio;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;Si, está permitido;No;0.2;500;4;No,  pero escucho ofertas;Bonos por objetivos;Empatia;No recuerdo;No;Computadora / Laptop;4;1;Entre 21 y 30
Femenino;No;34;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Jujuy;NOA;177;Minería (carbón, otra minería);500;Multinacional;10;HRBP;Full time;Capacitación y desarrollo;0;2;2;12;85000;Medicina prepaga / Plan de salud, Gimnasio, Reintegros en capacitación, Comedor / Almuerzos;Un sueldo;1 solo;30;Mayo;No;Nucleus;Desarrollo de Personas;Si, está permitido;No;0;120;2;Sí, activamente;"Horario flexible; prepara; bono; gimnasio y medicamentos;";Valores;No tengo una;NA;NA;NA;0;Entre 21 y 30
Femenino;No;48;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Santa Fe;Patagonia;178;Servicios de salud;30;Nacional;1;Responsable;Full time;Administración de personal;0;7;3;15;60000;No tengo beneficios adicionales;No recibo bono;1 solo;10;Julio;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;NA;150;3;Sí, activamente;Obra Social. Home office. Horario fexible;Humanos;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;1;Entre 1 y 10
Femenino;No;51;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Privada;Córdoba;Centro;179;"Alimentación; bebidas; tabaco";600;Nacional;7;Jefe;Full time;Generalista;7;0;8;20;150000;Medicina prepaga / Plan de salud, Idiomas, Home office;No recibo bono;No tuve ajustes;0;NA;No;Bejerman;Recursos Humanos;No, está prohibido;No;0;1050;1;Sí, activamente;Mejor clima y trato, mas confianza en las personas y menos control;Servicio;Pedir referencias de una empresa de la que informas al entrevistador que te fuiste mal;No;Ninguna;2;1;Sin aumentos
Femenino;No;23;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Buenos Aires;Centro;180;"Alimentación; bebidas; tabaco";10000;Nacional;40;Administrativo;Full time;Administración de personal;0;0;0;3;54506;Tarjeta de descuento, Horarios flexibles, Frutas y snacks, Abono de internet, Comedor / Almuerzos, Charter / Servicio de transporte;No recibo bono;No tuve ajustes;0;Abril;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0;500;3;No,  pero escucho ofertas;NA;Dedicación;NA;Voy rotando entre la oficina y el trabajo;Abono de internet;5;0;Sin aumentos
Femenino;Prefiero no responder;63;No tengo ninguna discapacidad;Maestría completa;Caomunicacion social me especialice en RRHH;Universidad Privada;Buenos Aires;Centro;181;"Silvicultura; madera; celulosa; papel";80;Nacional;2;Jefe;Full time;General;1;1;1;24;96000;Medicina prepaga / Plan de salud, Abono de celular;No recibo bono;No tuve ajustes;9;Agosto;Si, en proyectos ad honorem;Bejerman;Recursos Humanos;Si, está permitido;No;0;1100;1;Sí, activamente;Flex time, bono, más días de vacaciones etc;Motivación;Si se liquidar en negro;No;No estoy trabajando en home office;1;1;Entre 1 y 10
Femenino;No;25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;182;Servicios de salud;1900;Nacional;11;Administrativo;Full time;Administración de personal;0;3;0;3;58000;Medicina prepaga / Plan de salud, Frutas y snacks, Seguro de vida (adicionales a los de ley), Préstamos, Comedor / Almuerzos;No recibo bono;1 solo;2.5;Abril;Si, en emprendimiento no relacionado con RRHH;RH Pro;Servicio atención al empleado;Si, está permitido;No;0;1000;3;No,  pero escucho ofertas;Dias extra de vacaciones. Clases de  idiomas;Evolución;No siento que haya tenido preguntas bizarras;Si;No me enviaron ni reintegraron nada;4;0;Entre 1 y 10
Femenino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;183;Servicios de consultoría;6;Nacional;5;Administrativo;Full time;Reclutamiento y selección;0;3;2;6;39000;Medicina prepaga / Plan de salud, Abono de celular;No recibo bono;No tuve ajustes;7;Febrero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.2;1250;2;Sí, activamente;Homeoffice, bono, día del cumpleaños;Constancia;"No pregunta, pero si fui a una entrevista de 1 hora de camino y la reclutadora me ""entrevistó"" 10 minutos y ni me vio a la cara porque estaba ""tomando notas""";Si;Computadora / Laptop, Silla ergonómica, Abono de celular;4;0;Entre 1 y 10
Masculino;No;49;No tengo ninguna discapacidad;Secundario completo;Administración de Empresas;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;184;Servicios de salud;15000;Nacional;350;Gerente;Full time;Diseño organizacional;14;6;1;18;145000;Horarios flexibles;No recibo bono;No tuve ajustes;0;Enero;No;SAP / SuccessFactors;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Sin aumentos
Femenino;No;39;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Buenos Aires;Centro;185;Industrias químicas;200;Nacional;2;Jefe;Full time;Relaciones laborales;0;1;1;15;140000;Medicina prepaga / Plan de salud, Abono de celular, Combustible, Comedor / Almuerzos;No recibo bono;1 solo;12;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;No, está prohibido;No;0;500;4;No estoy buscando cambiar;Generar una Politica de Bonos /m;Empatia;NA;Si;No me enviaron ni reintegraron nada;3;1;Entre 11 y 20
Femenino;No;44;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Santa Fe;Patagonia;186;Construcción;20;Nacional;1;Responsable;Full time;Payroll / Liquidación de sueldos;0;1;1;12;61000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;10;Enero;No;Bejerman;Oficina de Personal;Si, está permitido;No;0;300;1;Sí, activamente;Prepaga. Homeoffice. Días extras de vac. Flexibilidad horaria;Personas;No recuerdo;NA;NA;NA;1;Entre 1 y 10
Femenino;No;35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Buenos Aires;Centro;187;Otros;250;Nacional;5;Analista;Full time;Generalista;0;16;2;9;60000;Medicina prepaga / Plan de salud, Abono de celular, Comedor / Almuerzos;No recibo bono;2 ajustes;15;Abril;Si, en proyectos ad honorem;RH Pro;Recursos Humanos;Si, está permitido;No;0;900;3;Sí, activamente;Prepaga, comedor, viaticos;Cultura;NA;NA;NA;NA;0;Entre 11 y 20
Femenino;No;29;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;188;Servicios de consultoría;6;Multinacional;2;Administrativo;Full time;Reclutamiento y selección;0;4;3;3;55000;Horarios flexibles;Menos de un sueldo;No tuve ajustes;0;Diciembre;Si, en proyectos ad honorem;Gecom;Selección y Consultoría;Si, está permitido;No;0;546;3;Sí, activamente;Capacitaciones;Diversidad;No recuerdo.;Si;Computadora / Laptop;2;0;Sin aumentos
